"Component","Model","WAIC","SE","Bayes_R2_Mean","Bayes_R2_SD"
"Chao1","Species_P_Greenhouse",-1730.60840785516,50.875934636774,0.67991025000515,0.0142274771987537
"Chao1","Phylogeny_Species_Greenhouse_P",-1730.24502706208,50.8777031801924,0.680437170810236,0.0142897659661833
"Chao1","Species_Greenhouse",-1725.72208290948,51.0503309273494,0.675763434841383,0.0146967212875778
"Chao1","Phylogeny_P_Greenhouse",-1725.61671094465,48.7343921952038,0.677165891283248,0.0149712683318395
"Chao1","Phylogeny_Species_Greenhouse",-1725.50510040392,50.9731200267368,0.676178898958305,0.0145489831407672
"Chao1","Phylogeny_Greenhouse",-1721.61913049924,48.9596112213033,0.673334700863103,0.0149069888744406
"Chao1","Species_P",-1710.75436147743,50.3143466518852,0.66116302294063,0.0150688194505705
"Chao1","Species_Phylogeny_P",-1710.59288323905,50.4150884037257,0.661870214742022,0.014829690740146
"Chao1","Phylogeny_P",-1706.36500406131,48.1436655889491,0.658444508408076,0.0153882743423369
"Chao1","Species",-1706.3527219354,50.4777504714563,0.656884173981772,0.0152665899071092
"Chao1","Species_Phylogeny",-1706.25193575533,50.6920065347948,0.657721336712665,0.0152315476445418
"Chao1","Phylogeny",-1702.11032008128,48.3420160334323,0.654141064910834,0.0158731524602941
"Chao1","P",-1184.15844724715,42.9896185533777,0.00563410014778744,0.00597468429862293
"Chao1","Greenhouse",-1183.0390398983,43.1842410975576,0.00746918554628294,0.00847913495346136
"Chao1","P_Greenhouse",-1182.87550515086,43.269308267909,0.0128216556063,0.00994168474979479
"PC1","Species_P_Greenhouse",-1734.28724534925,51.6018158897371,0.775324216557411,0.00918296076249804
"PC1","Phylogeny_Species_Greenhouse",-1734.21616916978,51.696988292404,0.774824634761449,0.00914763648318122
"PC1","Species_Greenhouse",-1733.99844575609,51.9483594766606,0.774619225736621,0.00917357428823571
"PC1","Phylogeny_Species_Greenhouse_P",-1733.74951777594,51.4816071272368,0.775410033321686,0.0091923787032313
"PC1","Phylogeny_P_Greenhouse",-1730.83630784945,49.7203604912388,0.774012138911784,0.00950680017564376
"PC1","Phylogeny_Greenhouse",-1730.46923678022,50.1621061049063,0.773249202615101,0.00936111139994025
"PC1","Species_Phylogeny_P",-1716.3633931251,51.677507094027,0.763223047651624,0.00947990300848727
"PC1","Species_P",-1716.11017504456,51.8285029141981,0.762932072743049,0.00947606275236857
"PC1","Species",-1715.8955254863,52.3351429919965,0.762311565168471,0.00953504674186997
"PC1","Species_Phylogeny",-1715.43984305465,52.2130152627501,0.762376834421542,0.00960112379659132
"PC1","Phylogeny_P",-1712.85929710643,49.9616548040135,0.761638306629104,0.00989120030447685
"PC1","Phylogeny",-1712.25258037289,50.3842110242906,0.760612446114921,0.00984422864705018
"PC1","P",-1006.9880240473,36.9386081924516,0.00310055178111677,0.00398188315049441
"PC1","Greenhouse",-1006.5516356351,36.9799388530843,0.00454288122113928,0.00582079480543978
"PC1","P_Greenhouse",-1005.25859819252,37.0055062397927,0.00767991615120525,0.00705835614747176
"PC2","Phylogeny_Species_Greenhouse_P",-2271.29839269788,57.4836160541772,0.825564895047171,0.006594083330887
"PC2","Species_P_Greenhouse",-2271.25117130508,57.4764632119052,0.825453381775273,0.0066249523616077
"PC2","Phylogeny_P_Greenhouse",-2268.95546558135,58.3755909893,0.824821613915996,0.00663310089391942
"PC2","Species_Phylogeny_P",-2268.03116794449,58.4702573649333,0.822322414063252,0.00653894502156059
"PC2","Species_P",-2267.97227253452,58.5048568709653,0.822171975934246,0.00647172531490502
"PC2","Phylogeny_P",-2266.23061743248,59.2457202559909,0.821445501347307,0.00658392418225776
"PC2","Phylogeny_Species_Greenhouse",-2217.48263029141,56.9465941399002,0.805271141323662,0.00747837507645565
"PC2","Species_Greenhouse",-2217.20423046642,56.9860216220244,0.805171781198032,0.00760365065732081
"PC2","Species",-2216.10037584512,57.6659113360243,0.802244106270493,0.00744882956803813
"PC2","Species_Phylogeny",-2215.95868922297,57.560914201205,0.802400705521137,0.00744797393123085
"PC2","Phylogeny_Greenhouse",-2214.8703962491,57.6811361138514,0.804333630503415,0.00770433119336273
"PC2","Phylogeny",-2214.03901496634,58.3744239171743,0.801538656471078,0.00765784712210183
"PC2","P",-1423.80053044663,54.543001493388,0.0231557726052002,0.0125359789965605
"PC2","P_Greenhouse",-1421.86691792525,54.3735836138871,0.0258282993950309,0.0131947636115866
"PC2","Greenhouse",-1412.8299414564,55.5766923642048,0.00283745371846456,0.00388425265830331
